nom,prix_texte,prix,adresse,image_lien,categorie,date_scraping,adresse_complete,quartier,ville,pays
Chiot Rottweiler,400 000 CFA,400000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5486097_uploaded_image1_1755778960.jpg,chiens,2026-01-05 09:40:46,"Pikine, Sénégal",Pikine,Sénégal,
Bichon noir,130 000 CFA,130000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5482763_uploaded_image1_1755623884.jpg,chiens,2026-01-05 09:40:50,"Dakar, Sénégal",Dakar,Sénégal,
Chiot Rottweiler,300 000 CFA,300000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5480457_uploaded_image1_1755508783.jpg,chiens,2026-01-05 09:40:54,"Pikine, Sénégal",Pikine,Sénégal,
bichons mâle,150 000 CFA,150000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5431028_uploaded_image1_1752941357.jpg,chiens,2026-01-05 09:41:00,"Dakar, Sénégal",Dakar,Sénégal,
Chiot Malinois,150 000 CFA,150000.0,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_5468013_uploaded_image1_1754773485.jpg,chiens,2026-01-05 09:41:04,"Sipres, Dakar, Sénégal",Sipres,Dakar,Sénégal
Chiot Berger allemand,250 000 CFA,250000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5467125_uploaded_image1_1754733559.jpg,chiens,2026-01-05 09:41:06,"Sacré-Coeur, Dakar, Sénégal",Sacré-Coeur,Dakar,Sénégal
Chiots Berger Allemand,150 000 CFA,150000.0,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_5466408_uploaded_image1_1754682101.jpg,chiens,2026-01-05 09:41:11,"Saint Louis, Sénégal",Saint Louis,Sénégal,
Chat siamois,100 000 CFA,100000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5465444_uploaded_image1_1754649176.jpg,chiens,2026-01-05 09:41:14,"Almadies, Dakar, Sénégal",Almadies,Dakar,Sénégal
Chiot Hamster syrien,5 000 CFA,5000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5465432_uploaded_image1_1754648750.jpg,chiens,2026-01-05 09:41:17,"Almadies, Dakar, Sénégal",Almadies,Dakar,Sénégal
Chiots Spizt,Prix sur demande,,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5464950_uploaded_image1_1754612259.jpg,chiens,2026-01-05 09:41:20,"Almadies 2, Dakar, Sénégal",Almadies 2,Dakar,Sénégal
Chiots Berger,150 000 CFA,150000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5463591_uploaded_image1_1754561119.jpg,chiens,2026-01-05 09:41:24,"Thies, Sénégal",Thies,Sénégal,
Chiots Berger allemend,150 000 CFA,150000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5463584_uploaded_image1_1754560979.jpg,chiens,2026-01-05 09:41:28,"Thies, Sénégal",Thies,Sénégal,
Chiot Malinois,300 000 CFA,300000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5462776_uploaded_image1_1754507012.jpg,chiens,2026-01-05 09:41:33,"Mbao, Dakar, Sénégal",Mbao,Dakar,Sénégal
Chiots malinois de parents importés de bordeaux france,250 000 CFA,250000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5455656_uploaded_image1_1754152274.jpg,chiens,2026-01-05 09:41:39,"Thies, Sénégal",Thies,Sénégal,
Chiot Rottweiler,290 000 CFA,290000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5453153_uploaded_image1_1754039656.jpg,chiens,2026-01-05 09:41:42,"Pikine, Sénégal",Pikine,Sénégal,
Chiot Berger Allemand,120 000 CFA,120000.0,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_5443216_uploaded_image1_1753548558.jpg,chiens,2026-01-05 09:41:45,"Lac rose, Sénégal",Lac rose,Sénégal,
Chiot Berger allemand,150 000 CFA,150000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5439144_uploaded_image1_1753362359.jpg,chiens,2026-01-05 09:41:48,"Pikine, Sénégal",Pikine,Sénégal,
Chiot Bichon maltes,180 000 CFA,180000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5435956_uploaded_image1_1753216215.jpg,chiens,2026-01-05 09:41:51,"HLM, Dakar, Sénégal",HLM,Dakar,Sénégal
Chiots Berger allemand,180 000 CFA,180000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5429666_uploaded_image1_1752845223.jpg,chiens,2026-01-05 09:41:53,"Keur Massar, Sénégal",Keur Massar,Sénégal,
Chiot Berger Allemand,150 000 CFA,150000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5387119_uploaded_image2_1750623407.jpeg,chiens,2026-01-05 09:41:57,"HLM, Dakar, Sénégal",HLM,Dakar,Sénégal
Bichon maltaise,150 000 CFA,150000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5386842_uploaded_image1_1750611237.jpg,chiens,2026-01-05 09:42:01,"HLM, Dakar, Sénégal",HLM,Dakar,Sénégal
Chien Boerboell,650 000 CFA,650000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5386827_uploaded_image1_1750610656.jpg,chiens,2026-01-05 09:42:05,"HLM, Dakar, Sénégal",HLM,Dakar,Sénégal
Chiot Berger allemand,170 CFA,170.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5425744_uploaded_image1_1752657035.jpg,chiens,2026-01-05 09:42:08,"Pikine, Sénégal",Pikine,Sénégal,
Chiots Cane Corso,400 000 CFA,400000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5400421_uploaded_image1_1751373309.jpg,chiens,2026-01-05 09:42:11,"Sicap Liberté, Dakar, Sénégal",Sicap Liberté,Dakar,Sénégal
Chiot Husky,300 000 CFA,300000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5397542_uploaded_image1_1751222051.jpg,chiens,2026-01-05 09:42:14,"Ouakam, Dakar, Sénégal",Ouakam,Dakar,Sénégal
